xi_t,deltaK_over_K0_0_001,deltaK_over_K0_0_005,deltaK_over_K0_0_01,deltaK_over_K0_0_05,deltaK_over_K0_0_1
0,0.999997532600929,0.99993831624083,0.999753280182866,0.993844170297569,0.975528258147577
0.3125,0.999995990542383,0.999899805045805,0.999599737939134,0.990391603366389,0.965811350341162
0.625,0.999994448486216,0.999861295333983,0.999446219276441,0.986951030486963,0.956191229374626
0.9375,0.999992906432426,0.999822787105308,0.999292724191165,0.983522409992532,0.946666931186915
1.25,0.999991364381014,0.999784280359723,0.999139252679685,0.980105700361084,0.937237501319664
1.5625,0.99998982233198,0.99974577509717,0.99898580473838,0.976700860214852,0.927901994821543
1.875,0.999988280285325,0.999707271317591,0.998832380363631,0.973307848319815,0.918659476153565
2.1875,0.999986738241047,0.999668769020931,0.998678979551818,0.969926623585196,0.909509019095331
2.5,0.999985196199147,0.999630268207132,0.998525602299322,0.966557145062967,0.90044970665221
2.8125,0.999983654159625,0.999591768876137,0.998372248602526,0.963199371947348,0.891480630963447
3.125,0.999982112122481,0.999553271027888,0.998218918457811,0.959853263574318,0.88260089321118
3.4375,0.999980570087714,0.999514774662329,0.99806561186156,0.956518779421124,0.87380960353037
3.75,0.999979028055326,0.999476279779403,0.997912328810157,0.953195879105783,0.86510588091962
4.0625,0.999977486025315,0.999437786379051,0.997759069299986,0.949884522386598,0.856488853152894
4.375,0.999975943997683,0.999399294461219,0.997605833327431,0.946584669161671,0.847957656692105
4.6875,0.999974401972428,0.999360804025847,0.997452620888877,0.943296279468415,0.839511436600576
5,0.999972859949552,0.999322315072879,0.997299431980711,0.940019313483071,0.831149346457366
5.3125,0.999971317929053,0.999283827602259,0.997146266599317,0.936753731520226,0.822870548272449
5.625,0.999969775910932,0.999245341613928,0.996993124741084,0.933499494032333,0.814674212402732
5.9375,0.999968233895189,0.999206857107831,0.996840006402398,0.930256561609231,0.80655951746892
6.25,0.999966691881824,0.999168374083908,0.996686911579647,0.927024894977667,0.798525650273198
6.5625,0.999965149870836,0.999129892542105,0.996533840269219,0.923804455000822,0.79057180571774
6.875,0.999963607862227,0.999091412482363,0.996380792467504,0.920595202677838,0.78269718672403
7.1875,0.999962065855996,0.999052933904626,0.996227768170891,0.91739709914334,0.77490100415298
7.5,0.999960523852142,0.999014456808836,0.996074767375771,0.914210105666974,0.767182476725849
7.8125,0.999958981850666,0.998975981194937,0.995921790078533,0.911034183652931,0.759540830945954
8.125,0.999957439851568,0.99893750706287,0.995768836275568,0.907869294639483,0.751975301021148
8.4375,0.999955897854848,0.99889903441258,0.99561590596327,0.904715400298515,0.744485128787083
8.75,0.999954355860506,0.998860563244009,0.99546299913803,0.901572462435062,0.737069563631228
9.0625,0.999952813868542,0.998822093557101,0.99531011579624,0.898440442986849,0.729727862417653
9.375,0.999951271878955,0.998783625351797,0.995157255934295,0.895319304023824,0.722459289412552
9.6875,0.999949729891747,0.998745158628041,0.995004419548588,0.892209007747704,0.715263116210517
10,0.999948187906916,0.998706693385776,0.994851606635514,0.889109516491517,0.708138621661539
10.3125,0.999946645924463,0.998668229624945,0.994698817191467,0.88602079271914,0.701085091798742
10.625,0.999945103944387,0.99862976734549,0.994546051212844,0.882942799024853,0.694101819766831
10.9375,0.99994356196669,0.998591306547356,0.994393308696041,0.879875498132879,0.687188105751262
11.25,0.999942019991371,0.998552847230483,0.994240589637454,0.876818852896937,0.680343256908104
11.5625,0.999940478018429,0.998514389394817,0.99408789403348,0.873772826299789,0.673566587294611
11.875,0.999938936047865,0.998475933040299,0.993935221880519,0.870737381452794,0.666857417800484
12.1875,0.999937394079679,0.998437478166873,0.993782573174966,0.867712481595459,0.660215076079809
12.5,0.999935852113871,0.998399024774481,0.993629947913223,0.864698090094997,0.653638896483685
12.8125,0.999934310150441,0.998360572863067,0.993477346091688,0.861694170445881,0.647128219993514
13.125,0.999932768189388,0.998322122432573,0.993324767706762,0.858700686269402,0.640682394154961
13.4375,0.999931226230713,0.998283673482942,0.993172212754844,0.855717601313229,0.634300773012568
13.75,0.999929684274416,0.998245226014118,0.993019681232336,0.852744879450969,0.62798271704502
14.0625,0.999928142320497,0.998206780026043,0.992867173135641,0.849782484681733,0.621727593101061
14.375,0.999926600368956,0.99816833551866,0.992714688461159,0.846830381129695,0.615534774336037
14.6875,0.999925058419792,0.998129892491913,0.992562227205294,0.84388853304366,0.609403640149086
15,0.999923516473006,0.998091450945744,0.99240978936445,0.840956904796632,0.60333357612094
15.3125,0.999921974528598,0.998053010880096,0.992257374935029,0.838035460885381,0.597323973952352
15.625,0.999920432586568,0.998014572294912,0.992104983913438,0.835124165930013,0.591374231403144
15.9375,0.999918890646915,0.997976135190135,0.99195261629608,0.832222984673544,0.585483752231843
16.25,0.99991734870964,0.997937699565709,0.991800272079361,0.829331881981467,0.57965194613594
16.5625,0.999915806774743,0.997899265421575,0.991647951259688,0.826450822841336,0.573878228692729
16.875,0.999914264842224,0.997860832757678,0.991495653833466,0.823579772362331,0.568162021300742
17.1875,0.999912722912082,0.99782240157396,0.991343379797104,0.820718695774847,0.562502751121763
17.5,0.999911180984319,0.997783971870364,0.991191129147009,0.81786755843006,0.556899851023427
17.8125,0.999909639058933,0.997745543646833,0.99103890187959,0.815026325799521,0.551352759522381
18.125,0.999908097135924,0.99770711690331,0.990886697991254,0.812194963474728,0.545860920728019
18.4375,0.999906555215294,0.997668691639739,0.990734517478413,0.809373437166711,0.540423784286774
18.75,0.999905013297041,0.997630267856061,0.990582360337475,0.806561712705621,0.535040805326964
19.0625,0.999903471381166,0.997591845552221,0.990430226564851,0.803759756040313,0.529711444404192
19.375,0.999901929467669,0.99755342472816,0.990278116156953,0.800967533237932,0.524435167447282
19.6875,0.999900387556549,0.997515005383823,0.990126029110191,0.798185010483507,0.519211445704763
20,0.999898845647807,0.997476587519152,0.989973965420979,0.795412154079536,0.514039755691879
20.3125,0.999897303741443,0.99743817113409,0.989821925085729,0.792648930445582,0.508919579138127
20.625,0.999895761837457,0.99739975622858,0.989669908100854,0.789895306117865,0.503850402935323
20.9375,0.999894219935848,0.997361342802566,0.989517914462768,0.787151247748855,0.49883171908618
21.25,0.999892678036617,0.997322930855989,0.989365944167885,0.784416722106871,0.493863024653402
21.5625,0.999891136139764,0.997284520388794,0.989213997212621,0.781691696075678,0.48894382170928
21.875,0.999889594245288,0.997246111400923,0.989062073593391,0.778976136654083,0.484073617285795
22.1875,0.99988805235319,0.99720770389232,0.988910173306611,0.776270010955539,0.479251923325216
22.5,0.99988651046347,0.997169297862926,0.988758296348697,0.773573286207746,0.474478256631192
22.8125,0.999884968576128,0.997130893312686,0.988606442716067,0.770885929752251,0.469752138820327
23.125,0.999883426691163,0.997092490241543,0.988454612405139,0.768207909044057,0.46507309627424
23.4375,0.999881884808576,0.997054088649438,0.988302805412329,0.765539191651227,0.460440660092102
23.75,0.999880342928366,0.997015688536316,0.988151021734059,0.762879745254489,0.455854366043649
24.0625,0.999878801050534,0.99697728990212,0.987999261366746,0.760229537646848,0.451313754522658
24.375,0.99987725917508,0.996938892746792,0.987847524306811,0.757588536733193,0.446818370500886
24.6875,0.999875717302004,0.996900497070276,0.987695810550674,0.754956710529914,0.442367763482475
25,0.999874175431305,0.996862102872514,0.987544120094757,0.752334027164505,0.437961487458804
25.3125,0.999872633562984,0.99682371015345,0.987392452935479,0.749720454875187,0.433599100863793
25.625,0.99987109169704,0.996785318913027,0.987240809069265,0.74711596201052,0.429280166529653
