deltaK_over_K0,reference_T_xi,without_CD_final_F,without_CD_final_C,with_CD_final_F,with_CD_final_C,with_CD_final_atomic_population,CD_F_Txi_5,CD_C_Txi_5,CD_Patom_Txi_5,CD_F_Txi_10,CD_C_Txi_10,CD_Patom_Txi_10,CD_F_Txi_15,CD_C_Txi_15,CD_Patom_Txi_15,CD_F_Txi_20,CD_C_Txi_20,CD_Patom_Txi_20,CD_F_Txi_30,CD_C_Txi_30,CD_Patom_Txi_30,CD_F_Txi_40,CD_C_Txi_40,CD_Patom_Txi_40
-0.1,20,0.502675242289625,0.0456944062350307,0.99210197139945,0.992103945553987,0.992138635751077,0.991369139175544,0.991361594923325,0.991376714405555,0.991991326388619,0.991980489680599,0.992006603588207,0.992227498126565,0.992220820928253,0.992252017966121,0.99210197139945,0.992103945553987,0.992138635751077,0.991544037935129,0.991572810559737,0.991614221932069,0.99082434067669,0.990890197841377,0.990939786025611
-0.075,20,0.502703307260029,0.0370228371971453,0.994016884046746,0.994014109312463,0.994041720745507,0.991997390903366,0.991990048641425,0.992004752844047,0.993499120645824,0.993488745656831,0.993512111322862,0.993926511229496,0.993918650918925,0.993944694388321,0.994016884046746,0.994014109312463,0.994041720745507,0.993922213667732,0.993934884565929,0.993965489647916,0.993718678705608,0.993752823137706,0.99378717287782
-0.05,20,0.502564309135652,0.02867179133525,0.995144145860988,0.995137526132708,0.995160656099829,0.992452488786316,0.992445291661822,0.992459695423167,0.994521016117172,0.99451088999726,0.994532343725706,0.995007111786053,0.994998125399503,0.995020773366557,0.995144145860988,0.995137526132708,0.995160656099829,0.995195691616452,0.99519607742708,0.995220185043767,0.995178078042531,0.995188183242593,0.995213637693407
-0.025,20,0.502411065930485,0.0218479405354337,0.995711439347449,0.995702346598254,0.99572301539045,0.992728046366113,0.992720936608146,0.992735158622367,0.99510749874788,0.995097487549416,0.995117816318612,0.995601047065363,0.995591273943786,0.995612001642217,0.995711439347449,0.995702346598254,0.99572301539045,0.995774181340039,0.995766946346554,0.995787629522512,0.995789231210034,0.99578448622827,0.995805380355515
-0.01,20,0.502358182084737,0.0194581335593743,0.995854344989708,0.995844538881717,0.995864548854129,0.992805534916162,0.992798449654076,0.992812620583475,0.995267752250341,0.995257768439171,0.99527778535327,0.995760026256478,0.995750018079255,0.995770224023331,0.995854344989708,0.995844538881717,0.995864548854129,0.995910089764248,0.995900693311505,0.995920479828461,0.995923666674949,0.995914718916479,0.995934438104004
0,20,0.502347599516213,0.0189659078333015,0.99588074204513,0.995870799056066,0.995890685034194,0.992820311049262,0.992813230454593,0.992827391643931,0.99529807155004,0.995288092714022,0.995308050386058,0.995789945858217,0.995779892180261,0.995799999536173,0.99588074204513,0.995870799056066,0.995890685034194,0.995934671503081,0.995924862118059,0.995944480888103,0.995947502484911,0.995937752295325,0.995957252674496
0.01,20,0.502358182084737,0.0194581335593743,0.995854344989708,0.995844538881717,0.99586454885413,0.992805534916162,0.992798449654075,0.992812620583475,0.995267752250341,0.995257768439171,0.99527778535327,0.995760026256478,0.995750018079255,0.995770224023332,0.995854344989708,0.995844538881717,0.99586454885413,0.995910089764247,0.995900693311504,0.99592047982846,0.995923666674949,0.995914718916479,0.995934438104003
0.025,20,0.502411065930485,0.0218479405354337,0.995711439347449,0.995702346598254,0.99572301539045,0.992728046366114,0.992720936608148,0.992735158622368,0.995107498747881,0.995097487549417,0.995117816318613,0.995601047065363,0.995591273943786,0.995612001642218,0.995711439347449,0.995702346598254,0.99572301539045,0.995774181340038,0.995766946346552,0.995787629522511,0.995789231210035,0.99578448622827,0.995805380355516
0.05,20,0.502564309135652,0.02867179133525,0.995144145860988,0.995137526132708,0.995160656099829,0.992452488786316,0.992445291661822,0.992459695423167,0.994521016117172,0.99451088999726,0.994532343725706,0.995007111786054,0.994998125399504,0.995020773366558,0.995144145860988,0.995137526132708,0.995160656099829,0.995195691616452,0.995196077427081,0.995220185043767,0.99517807804253,0.995188183242593,0.995213637693406
0.075,20,0.502703307260029,0.0370228371971453,0.994016884046745,0.994014109312463,0.994041720745506,0.991997390903366,0.991990048641425,0.992004752844047,0.993499120645824,0.99348874565683,0.993512111322862,0.993926511229497,0.993918650918926,0.993944694388322,0.994016884046745,0.994014109312463,0.994041720745506,0.993922213667733,0.993934884565929,0.993965489647916,0.993718678705608,0.993752823137706,0.99378717287782
0.1,20,0.502675242289625,0.0456944062350307,0.992101971399451,0.992103945553988,0.992138635751078,0.991369139175545,0.991361594923326,0.991376714405556,0.99199132638862,0.991980489680599,0.992006603588207,0.992227498126565,0.992220820928253,0.992252017966121,0.992101971399451,0.992103945553988,0.992138635751078,0.99154403793513,0.991572810559738,0.99161422193207,0.990824340676688,0.990890197841376,0.99093978602561
