xi_t,P_gg_with_CD,P_eg_with_CD,P_ge_with_CD,P_photon_with_CD,concurrence_target,concurrence_without_CD,concurrence_with_CD,bell_fidelity_without_CD,bell_fidelity_with_CD,conditional_bell_fidelity_with_CD,u1,u2,Omega_pi_over_xi,Omega_CD_over_xi
0,1,0,0,0,NaN,0,0,0,0,NaN,0,0.9,0,0
0.005,0.999999999999972,2.60796397920217e-14,0,0,NaN,0,0,1.30398198960108e-14,1.30398198960108e-14,0.5,0,0.9,0.000193785244653334,0
0.01,0.999999999998287,1.66891998471578e-12,0,0,NaN,0,0,8.3445999235789e-13,8.3445999235789e-13,0.5,0,0.9,0.000775093165003887,0
0.015,0.99999999998082,1.90076395308914e-11,0,0,NaN,0,0,9.5038197654457e-12,9.5038197654457e-12,0.5,0,0.9,0.00174378033202061,0
0.02,0.99999999989302,1.06778890850302e-10,0,0,NaN,0,0,5.33894454251511e-11,5.33894454251511e-11,0.5,0,0.9,0.00309960773663982,0
0.025,0.999999999592553,4.07238637457857e-10,0,0,NaN,0,0,2.03619318728929e-10,2.03619318728929e-10,0.5,0,0.9,0.00484224084873711,0
0.03,0.999999998784114,1.2156779727145e-09,0,0,NaN,0,0,6.0783898635725e-10,6.0783898635725e-10,0.5,0,0.9,0.00697124969966765,0
0.035,0.999999996935293,3.06450237294649e-09,0,0,NaN,0,0,1.53225118647324e-09,1.53225118647324e-09,0.5,0,0.9,0.00948610898835451,0
0.04,0.999999993174045,6.82575809876286e-09,0,0,NaN,0,0,3.41287904938143e-09,3.41287904938143e-09,0.5,0,0.9,0.0123861982108988,0
0.045,0.999999986167849,1.38319638643066e-08,0,0,NaN,0,0,6.9159819321533e-09,6.9159819321533e-09,0.5,0,0.9,0.01567080181368,0
0.05,0.999999973984743,2.60150804567914e-08,0,0,NaN,0,0,1.30075402283957e-08,1.30075402283957e-08,0.5,0,0.9,0.0193391093699075,0
0.055,0.999999953936415,4.60634257258424e-08,0,0,NaN,0,0,2.30317128629212e-08,2.30317128629212e-08,0.5,0,0.9,0.023390215779582,0
0.06,0.999999922403547,7.75963173010092e-08,0,0,NaN,0,0,3.87981586505046e-08,3.87981586505046e-08,0.5,0,0.9,0.0278231214928148,0
0.065,0.999999874643682,1.25356200564385e-07,0,0,NaN,0,0,6.26781002821923e-08,6.26781002821923e-08,0.5,0,0.9,0.0326367327564522,0
0.07,0.999999804581899,1.95417994813496e-07,0,0,NaN,0,0,9.77089974067479e-08,9.77089974067479e-08,0.5,0,0.9,0.0378298618839426,0
0.075,0.99999970458453,2.9541536623474e-07,0,0,NaN,0,0,1.4770768311737e-07,1.4770768311737e-07,0.5,0,0.9,0.0434012275483802,0
0.08,0.999999565216286,4.34783612276552e-07,0,0,NaN,0,0,2.17391806138276e-07,2.17391806138276e-07,0.5,0,0.9,0.0493494550986534,0
0.085,0.99999937498108,6.25018818287547e-07,0,0,NaN,0,0,3.12509409143773e-07,3.12509409143773e-07,0.5,0,0.9,0.0556730768986194,0
0.09,0.999999120046974,8.79952923904472e-07,0,0,NaN,0,0,4.39976461952236e-07,4.39976461952236e-07,0.5,0,0.9,0.0623705326892214,0
0.095,0.999998783955585,1.21604431361513e-06,0,0,NaN,0,0,6.08022156807564e-07,6.08022156807564e-07,0.5,0,0.9,0.0694401699734594,0
0.1,0.999998347316375,1.65268352322797e-06,0,0,NaN,0,0,8.26341761613984e-07,8.26341761613984e-07,0.5,0,0.9,0.0768802444241186,0
0.105,0.999997787486267,2.21251363166154e-06,0,0,NaN,0,0,1.10625681583077e-06,1.10625681583077e-06,0.5,0,0.9,0.0846889203141567,0
0.11,0.999997078235013,2.92176488552569e-06,0,0,NaN,0,0,1.46088244276284e-06,1.46088244276284e-06,0.5,0,0.9,0.0928642709696414,0
0.115,0.999996189396816,3.81060308241784e-06,0,0,NaN,0,0,1.90530154120892e-06,1.90530154120892e-06,0.5,0,0.9,0.101404279245129,0
0.12,0.999995086508681,4.91349121771147e-06,0,0,NaN,0,0,2.45674560885574e-06,2.45674560885574e-06,0.5,0,0.9,0.110306838021364,0
0.125,0.999993730436019,6.26956387887377e-06,0,0,NaN,0,0,3.13478193943689e-06,3.13478193943689e-06,0.5,0,0.9,0.119569750725181,0
0.13,0.999992076986047,7.92301385102331e-06,0,0,NaN,0,0,3.96150692551165e-06,3.96150692551165e-06,0.5,0,0.9,0.129190731871474,0
0.135,0.999990076509521,9.92349037752877e-06,0,0,NaN,0,0,4.96174518876438e-06,4.96174518876438e-06,0.5,0,0.9,0.139167407627106,0
0.14,0.999987673491398,1.23265084999597e-05,0,0,NaN,0,0,6.16325424997984e-06,6.16325424997984e-06,0.5,0,0.9,0.14949731639662,0
0.145,0.999984806131016,1.519386888263e-05,0,0,NaN,0,0,7.596934441315e-06,7.596934441315e-06,0.5,0,0.9,0.160177909429596,0
0.15,0.99998140591239,1.85940875083264e-05,0,0,NaN,0,0,9.29704375416319e-06,9.29704375416319e-06,0.5,0,0.9,0.17120655144952,0
0.155,0.999977397165285,2.26028346135814e-05,0,0,NaN,0,0,1.13014173067907e-05,1.13014173067907e-05,0.5,0,0.9,0.182580521304,0
0.16,0.999972696617684,2.73033822140393e-05,0,0,NaN,0,0,1.36516911070196e-05,1.36516911070196e-05,0.5,0,0.9,0.194297012636165,0
0.165,0.999967212940345,3.27870595530586e-05,0,0,NaN,0,0,1.63935297765293e-05,1.63935297765293e-05,0.5,0,0.9,0.206353134577098,0
0.17,0.999960846284109,3.91537157897057e-05,0,0,NaN,0,0,1.95768578948529e-05,1.95768578948529e-05,0.5,0,0.9,0.218745912459108,0
0.175,0.999953487810673,4.65121892257031e-05,0,0,NaN,0,0,2.32560946128515e-05,2.32560946128515e-05,0.5,0,0.9,0.231472288549692,0
0.18,0.999945019217544,5.4980782354706e-05,0,0,NaN,0,0,2.7490391177353e-05,2.7490391177353e-05,0.5,0,0.9,0.244529122805976,0
0.185,0.999935312257897,6.46877420014841e-05,0,0,NaN,0,0,3.2343871000742e-05,3.2343871000742e-05,0.5,0,0.9,0.257913193649483,0
0.19,0.999924228256095,7.57717438031717e-05,0,0,NaN,0,0,3.78858719015858e-05,3.78858719015858e-05,0.5,0,0.9,0.271621198761001,0
0.195,0.999911617619628,8.83823802697191e-05,0,0,NaN,0,0,4.41911901348596e-05,4.41911901348596e-05,0.5,0,0.9,0.285649755895387,0
0.2,0.999897319348252,0.00010268065164602,0,0,NaN,0,0,5.13403258230101e-05,5.13403258230101e-05,0.5,0,0.9,0.299995403716082,0
0.205,0.999881160541114,0.000118839458783901,0,0,NaN,0,0,5.94197293919506e-05,5.94197293919506e-05,0.5,0,0.9,0.314654602649143,0
0.21,0.99986295590268,0.000137044097218232,0,0,NaN,0,0,6.85220486091158e-05,6.85220486091158e-05,0.5,0,0.9,0.329623735756586,0
0.215,0.99984250724827,0.000157492751627847,0,0,NaN,0,0,7.87463758139236e-05,7.87463758139236e-05,0.5,0,0.9,0.344899109628803,0
0.22,0.999819603010049,0.000180396989848768,0,0,NaN,0,0,9.01984949243838e-05,9.01984949243838e-05,0.5,0,0.9,0.360476955295862,0
0.225,0.999794017744304,0.000205982255594331,0,0,NaN,0,0,0.000102991127797165,0.000102991127797165,0.5,0,0.9,0.376353429157441,0
0.23,0.999765511640874,0.000234488359024354,0,0,NaN,0,0,0.000117244179512177,0.000117244179512177,0.5,0,0.9,0.39252461393118,0
0.235,0.999733830035605,0.000266169964293283,0,0,NaN,0,0,0.000133084982146642,0.000133084982146642,0.5,0,0.9,0.408986519619209,0
0.24,0.999698702926703,0.000301297073195497,0,0,NaN,0,0,0.000150648536597749,0.000150648536597749,0.5,0,0.9,0.425735084492626,0
0.245,0.999659844495884,0.000340155504014463,0,0,NaN,0,0,0.000170077752007231,0.000170077752007231,0.5,0,0.9,0.442766176093661,0
0.25,0.999616952635227,0.00038304736467141,0,0,NaN,0,0,0.000191523682335705,0.000191523682335705,0.5,0,0.9,0.460075592255305,0
0.255,0.99956970848064,0.000430291519258442,0,0,NaN,0,0,0.000215145759629221,0.000215145759629221,0.5,0,0.9,0.477659062138125,0
0.26,0.999517775952868,0.000482224047030713,0,0,NaN,0,0,0.000241112023515356,0.000241112023515356,0.5,0,0.9,0.495512247284035,0
0.265,0.999460801306976,0.000539198692922372,0,0,NaN,0,0,0.000269599346461186,0.000269599346461186,0.5,0,0.9,0.513630742686744,0
