epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
-0.1,-0.1,0.994394741868824,0.994580335543852,0.994156238504758,0.994566107041728,2.41806574763359e-13,0.00540543595425581
-0.09,-0.1,0.994552713222612,0.994719952384846,0.994340620475799,0.994705351881373,2.656763697928e-13,0.00526544711141974
-0.08,-0.1,0.994697454602697,0.994846633357635,0.994511433477619,0.994831635264238,2.76445533131664e-13,0.00513836854869941
-0.07,-0.1,0.994829110309059,0.994960529885036,0.994668810565719,0.994945107853789,2.13273843030493e-13,0.00502404808350385
-0.06,-0.1,0.994947842830506,0.995061811310271,0.994812903352455,0.995045938218031,5.01820807130571e-14,0.00492231559744061
-0.05,-0.1,0.995053832287352,0.995150664333649,0.994943881458102,0.995134312268264,9.48130463029884e-14,0.0048329836010552
-0.04,-0.1,0.995147275845354,0.99522729241975,0.995061931924897,0.995210432668505,7.061018436616e-14,0.00475584782907298
-0.03,-0.1,0.995228387073407,0.995291915168515,0.995167258598275,0.995274518208994,1.79856129989275e-14,0.00469068787195281
-0.02,-0.1,0.995297395318222,0.995344767671539,0.995260081483554,0.995326803165058,2.79776202205539e-14,0.0046372678220048
-0.01,-0.1,0.995354545014023,0.995386099827479,0.995340636082859,0.995367536615243,2.1316282072803e-14,0.00459533696030449
0,-0.1,0.995400094985965,0.995416175644575,0.995400094985965,0.995396981746716,5.89750470680883e-13,0.00456463045698204
0.01,-0.1,0.995434317733681,0.995435272521761,0.99541881248766,0.995415415139243,2.1316282072803e-14,0.00454487009573863
0.02,-0.1,0.995457498674924,0.995443680498578,0.995410811732949,0.99542312601845,1.19904086659517e-14,0.00453576502130168
0.03,-0.1,0.995469935407038,0.995441701503028,0.99539274328189,0.995420415506626,1.0547118733939e-14,0.00453701250057176
0.04,-0.1,0.995471936916969,0.995429648572096,0.995364956432906,0.995407595846658,8.72635297355373e-14,0.00454829870254583
0.05,-0.1,0.995463822799573,0.99540784506665,0.995327778597234,0.99538498962026,1.24789067967868e-13,0.00456929948703114
0.06,-0.1,0.995445922440931,0.99537662386074,0.995281546406991,0.995352928940687,5.21804821573824e-14,0.00459968121918254
0.07,-0.1,0.995418574233226,0.995336326541792,0.995226604910893,0.995311754656383,1.75082170983387e-13,0.00463910157262781
0.08,-0.1,0.995382124732626,0.995287302583981,0.995163306754277,0.995261815527833,2.41584530158434e-13,0.00468721035963356
0.09,-0.1,0.995336927841911,0.99522990852697,0.995092011356867,0.995203467409792,2.96651592179842e-13,0.00474365035555888
0.1,-0.1,0.995283343980999,0.995164507146982,0.995013084081554,0.99513707242584,1.36668454331357e-13,0.00480805813186709
-0.1,-0.09,0.994445127480074,0.99462905473643,0.994207397509262,0.994615771347896,2.42028619368284e-13,0.00535766187526988
