Nc,epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold
804,0,0,0.995880742048811,0.995887543791259
804,-0.1,-0.1,0.994394741868824,0.994580335543852
804,-0.1,0.1,0.995178558153592,0.995325164419062
804,0.1,-0.1,0.995283343980999,0.995164507146982
804,0.1,0.1,0.996187997453724,0.996064262962899
2004,0,0,0.995880742048812,0.995887543791261
2004,-0.1,-0.1,0.994394741872849,0.994580335544449
2004,-0.1,0.1,0.995178558157343,0.995325164419585
2004,0.1,-0.1,0.99528334398257,0.995164507146655
2004,0.1,0.1,0.996187997455055,0.996064262962648
4004,0,0,0.995880742048812,0.995887543791262
4004,-0.1,-0.1,0.994394741864004,0.994580335543492
4004,-0.1,0.1,0.995178558149321,0.99532516441885
4004,0.1,-0.1,0.995283343981346,0.995164507146133
4004,0.1,0.1,0.996187997454026,0.996064262962145
