n2,lambda,u1,u2,Z,C_conditional,C_unconditional,eigen_residual,reconstruction_error
6,0,0,0.9,1,0,0,0,0
6,0.05,0.044943855249503,0.89887710499006,0.999959703367027,0.0997506234413965,0.0997466038271349,6.15381692961577e-18,2.66785339382658e-15
6,0.1,0.089553347118899,0.89553347118899,0.999841217255952,0.198019801980198,0.197988359852664,1.23016729185765e-17,3.79227720986387e-15
6,0.15,0.13350640763722,0.890042717581468,0.999651486572305,0.293398533007335,0.293296279678916,1.86154347978174e-17,4.37746291315454e-15
6,0.2,0.176504521624366,0.882522608121828,0.999401246294751,0.384615384615385,0.384385094728751,2.37797038673586e-17,1.0184357851831e-15
6,0.25,0.2182820625327,0.873128250130799,0.999103917870196,0.470588235294118,0.470166549585975,2.89989972974144e-17,2.28994035689069e-15
6,0.3,0.258613097009711,0.862043656699036,0.998774334668843,0.55045871559633,0.549784037432391,3.53003128280253e-17,1.15371765473521e-16
6,0.35,0.297315382255295,0.849472520729416,0.998427484512063,0.623608017817372,0.622627384550953,3.90076086043398e-17,3.18046693123278e-15
6,0.4,0.334251608718693,0.835629021796733,0.998077425173862,0.689655172413793,0.688329258740595,4.31873856811765e-17,1.29877460994488e-16
6,0.45,0.369328209595918,0.820729354657596,0.997736472785666,0.748440748440748,0.746746632438336,4.68253367583317e-17,4.76533828224736e-16
6,0.5,0.402492235949962,0.804984471899924,0.997414701094754,0.8,0.797931760875803,4.92355957873937e-17,4.47482865426835e-15
6,0.55,0.43372687479494,0.788594317808982,0.99711973635934,0.844529750479846,0.842097282146083,5.2296356493795e-17,2.82121364541587e-16
6,0.6,0.463046179884774,0.77174363314129,0.996856796692096,0.882352941176471,0.879579526493026,5.5121233338341e-17,2.59403146354106e-15
6,0.65,0.490489515535873,0.754599254670573,0.996628907591452,0.913884007029877,0.910803219591485,5.67887022464076e-17,3.70218331344643e-15
6,0.7,0.516116109926995,0.737308728467137,0.996437224140707,0.939597315436241,0.936249740803349,5.75846657237497e-17,2.71609727367311e-15
6,0.75,0.54,0.72,0.996281399601616,0.96,0.956430143617552,6.0467509118242e-17,6.507130276382e-16
6,0.8,0.562225542798982,0.702781928498727,0.996159954488351,0.975609756097561,0.971863370232537,6.19290012269681e-17,5.59142615595229e-16
6,0.85,0.582883578085986,0.685745385983513,0.996070615449988,0.986937590711176,0.983059533390409,6.25529399135873e-17,7.88767758960565e-16
6,0.9,0.602068258460205,0.66896473162245,0.996010606763545,0.994475138121547,0.990507785731702,6.28338037275898e-17,5.52260024682615e-17
6,0.95,0.619874515723224,0.652499490234972,0.995976887707619,0.998685939553219,0.994668113873575,6.35206257332502e-17,7.88305258554761e-16
6,1,0.636396103067893,0.636396103067893,0.995966336337821,1,0.995966336337821,6.25964887812744e-17,5.03527050102145e-15
6,1.05,0.651724137931034,0.620689655172414,0.995975884597642,0.998810939357907,0.994791608872793,6.32757405349083e-17,1.10258834364462e-15
6,1.1,0.665946066056349,0.605405514596681,0.996002611904234,0.995475113122172,0.991495812755346,6.3151917058548e-17,1.49774235417966e-15
6,1.15,0.679144969947154,0.590560843432308,0.996043805010343,0.990312163616792,0.986394295596895,6.26979442431802e-17,1.4977595321326e-15
6,1.2,0.691399151637638,0.576165959698032,0.996096991631818,0.983606557377049,0.979767532752608,6.24111119381623e-17,1.89489744008196e-15
6,1.25,0.702781928498727,0.562225542798982,0.996159954488351,0.975609756097561,0.971863370232537,6.17767650919366e-17,5.59058268571695e-16
6,1.3,0.71336159019414,0.548739684764723,0.996230731338344,0.966542750929368,0.96289959162814,6.06094916165739e-17,1.66918860535448e-15
6,1.35,0.723201474010271,0.535704795563164,0.996307605495392,0.95659875996457,0.953066619960162,6.03679678051631e-17,1.2691063518331e-15
6,1.4,0.732360124086061,0.523114374347187,0.996389090303672,0.945945945945946,0.942530220557528,5.94977052431198e-17,1.51396944180115e-15
6,1.45,0.740891507323776,0.510959660223294,0.996473910178214,0.934730056406124,0.931434114268113,5.77752881904212e-17,2.16028738775315e-15
6,1.5,0.748845264904059,0.499230176602706,0.996560980097085,0.923076923076923,0.91990244316654,5.73118132364757e-17,1.22127296952963e-16
6,1.55,0.75626698340182,0.487914182839884,0.996649384862892,0.911094783247612,0.908042055275522,5.64765748374596e-17,4.01021133854157e-15
6,1.6,0.763198473604579,0.476999046002862,0.996738359012047,0.898876404494382,0.895944592370379,5.57871517878928e-17,8.03676460932303e-16
6,1.65,0.769678048398616,0.46647154448401,0.996827267921735,0.886501007387509,0.883688377203956,5.57588255513677e-17,1.45067897493515e-15
6,1.7,0.775740793641993,0.456318113907055,0.996915590426142,0.874035989717224,0.871340104742644,5.47352762342955e-17,4.86051732310231e-17
6,1.75,0.781418827912013,0.44652504452115,0.997002903083663,0.861538461538461,0.858956347272079,5.34858673491789e-17,4.63448674332898e-15
6,1.8,0.786741548509384,0.437078638060769,0.997088866121995,0.849056603773585,0.846584886329995,5.27230676908126e-17,6.09633387844178e-15
6,1.85,0.791735862218514,0.427965330928927,0.997173211011555,0.836630864895421,0.834265885979142,5.19322775903721e-17,1.32736263109523e-16
6,1.9,0.796426400143784,0.41917178954936,0.997255729571356,0.824295010845987,0.822032922423244,5.1182379744719e-17,4.9244690194568e-15
6,1.95,0.800835716531463,0.410684982836648,0.997336264485258,0.812077043206663,0.809913884745967,5.10553933681658e-17,1.49204830891021e-15
6,2,0.804984471899924,0.402492235949962,0.997414701094754,0.8,0.797931760875803,4.92318160931613e-17,4.47482865426835e-15
10,0,0,0.9,1,0,0,0,0
10,0.05,0.074740931868366,0.896891182420392,0.99986628325363,0.0997506234413965,0.0997372851125815,1.42298609297831e-17,7.67066789797551e-15
10,0.1,0.147959088574822,0.887754531448929,0.999480067099157,0.198019801980198,0.19791684497013,2.81385065833473e-17,1.45286299811458e-15
10,0.15,0.2182820625327,0.873128250130799,0.998882883172795,0.293398533007335,0.293070772569035,4.13826246053134e-17,4.64881650872988e-16
10,0.2,0.284604989415154,0.853814968245462,0.99813425673549,0.384615384615385,0.383897791052111,5.34445650645259e-17,1.70763097142674e-15
10,0.25,0.346153846153846,0.830769230769231,0.997300727304032,0.470588235294118,0.469317989319544,6.43883414816066e-17,2.25911253318965e-16
10,0.3,0.402492235949962,0.804984471899924,0.996445705593272,0.55045871559633,0.548502223262352,7.44169982578797e-17,6.14503645931578e-15
10,0.35,0.453483922971678,0.77740101080859,0.995622327087756,0.623608017817372,0.620878065889915,8.2410827246794e-17,3.37486973404512e-16
10,0.4,0.499230176602706,0.748845264904059,0.994869954399599,0.689655172413793,0.686117209930758,8.93510521365217e-17,1.94078916138643e-15
10,0.45,0.54,0.72,0.994213799704082,0.748440748440748,0.744110120360643,9.43206962094108e-17,3.0547528069231e-15
10,0.5,0.576165959698032,0.691399151637638,0.993666597164305,0.8,0.794933277731444,9.85703003788421e-17,5.80761575687656e-16
10,0.55,0.608152165665612,0.663438726180667,0.993231251140602,0.844529750479846,0.838813340694559,1.01200356821447e-16,1.79621065745616e-15
10,0.6,0.636396103067893,0.636396103067893,0.992903659142013,0.882352941176471,0.876091463948835,1.03512855920585e-16,1.09735958482589e-15
10,0.65,0.661323100164739,0.610452092459759,0.992675237609537,0.913884007029877,0.907190023825939,1.0624865985445e-16,3.13868701069845e-15
10,0.7,0.683330942128767,0.585712236110372,0.992534946007353,0.939597315436242,0.932583170745164,1.07096269325983e-16,4.08898095100025e-16
10,0.75,0.702781928498727,0.562225542798982,0.992470777787244,0.96,0.952771946675754,1.07907617293091e-16,5.94780241559559e-16
10,0.8,0.72,0.54,0.992470777787249,0.975609756097561,0.968264173450975,1.07629430163288e-16,2.01067074197666e-15
10,0.85,0.735271076938286,0.51901487783879,0.992523680481161,0.986937590711176,0.979558929937866,1.06641872055105e-16,1.70251923346603e-15
10,0.9,0.748845264904059,0.499230176602706,0.992619266178901,0.994475138121547,0.987135181835371,1.06041147777508e-16,4.11243669624279e-15
10,0.95,0.760940012727874,0.480593692249184,0.992748519772575,0.998685939553219,0.991443988209142,1.05739255469517e-16,4.48878234703932e-16
10,1,0.77174363314129,0.463046179884774,0.992903659142029,1,0.992903659142029,1.03664511188178e-16,7.25608620529847e-15
10,1.05,0.781418827912013,0.44652504452115,0.993078083169103,0.998810939357907,0.991897253105882,1.03069617206525e-16,4.03023841764971e-15
10,1.1,0.790106015622946,0.430966917612516,0.993266274715284,0.995475113122172,0.988771857182636,1.00964209287146e-16,2.15064602670805e-15
10,1.15,0.797926361548909,0.416309406025518,0.993463682478668,0.990312163616792,0.983839168870155,1.00250219389727e-16,3.33664392484459e-15
10,1.2,0.804984471899924,0.402492235949962,0.993666597164305,0.983606557377049,0.97737698081735,9.93640261435145e-17,1.06856938141403e-15
10,1.25,0.811370751721446,0.389457960826294,0.993872031371161,0.975609756097561,0.969631250118206,9.71911700430426e-17,1.61001958788476e-15
10,1.3,0.817163446050407,0.377152359715572,0.994077608465407,0.966542750929368,0.960818506323442,9.50987545616361e-17,3.10977206933357e-15
10,1.35,0.822430393758231,0.365524619448103,0.994281462975679,0.95659875996457,0.951128414538294,9.37967476191995e-17,2.09065472316166e-15
10,1.4,0.827230527016252,0.354527368721251,0.994482153308739,0.945945945945946,0.940726361237996,9.23272497553327e-17,4.19470020703128e-16
10,1.45,0.831615149179702,0.34411661345367,0.994678586534217,0.934730056406124,0.929755971297093,9.05818296635128e-17,5.84298578148286e-15
10,1.5,0.835629021796733,0.334251608718693,0.994869954399602,0.923076923076923,0.918341496368863,8.88187745604735e-17,3.62129443974519e-15
10,1.55,0.839311288446681,0.324894692301941,0.995055679449286,0.911094783247612,0.906590038587153,8.76410356027018e-17,1.38307130629181e-15
10,1.6,0.84269625981214,0.316011097429553,0.995235370024737,0.898876404494382,0.894593591033472,8.63616888828833e-17,2.42112740769741e-15
10,1.65,0.845814081139593,0.307568756778034,0.995408782937507,0.886501007387508,0.882430888836473,8.38930659749014e-17,3.80635961797638e-15
10,1.7,0.848691300224601,0.299538105961624,0.995575792687018,0.874035989717224,0.870169073299707,8.32054895246025e-17,1.81156707165379e-15
10,1.75,0.851351351351351,0.291891891891892,0.995736366205575,0.861538461538461,0.85786517703865,8.06855609104718e-17,1.29291981972608e-15
10,1.8,0.853814968245462,0.284604989415154,0.995890542234217,0.849056603773585,0.845567441519618,7.90544346906169e-17,1.26661044519541e-15
10,1.85,0.856100537053886,0.277654228233693,0.996038414554504,0.836630864895421,0.833316480237799,7.77629350567273e-17,6.29901441135479e-15
10,1.9,0.858224398620728,0.271018231143388,0.996180118414023,0.824295010845987,0.821146301512643,7.63407730084585e-17,5.48184896124412e-16
