Nc,RelTol,AbsTol,MaxStep,g_over_xi,T,max_atomic_error,final_atomic_error
804,1e-10,1e-12,0.04,0.1,20,0.0135995707331377,0.0135995707331377
804,1e-10,1e-12,0.04,0.4,20,0.166283698439323,0.165779503912046
804,1e-10,1e-12,0.04,0.1,160,0.0140547191453477,0.0140437177646839
804,1e-10,1e-12,0.04,0.4,160,0.170418080908013,0.170418080908013
2004,1e-10,1e-12,0.04,0.1,20,0.0135995707331313,0.0135995707331313
2004,1e-10,1e-12,0.04,0.4,20,0.166283698439391,0.165779503912049
2004,1e-10,1e-12,0.04,0.1,160,0.0140547191453484,0.0140437177646855
2004,1e-10,1e-12,0.04,0.4,160,0.170418080908046,0.170418080908046
4004,1e-10,1e-12,0.04,0.1,20,0.0135995707331366,0.0135995707331366
4004,1e-10,1e-12,0.04,0.4,20,0.166283698439207,0.16577950391204
4004,1e-10,1e-12,0.04,0.1,160,0.0140547191453468,0.0140437177646844
4004,1e-10,1e-12,0.04,0.4,160,0.170418080907962,0.170418080907962
2004,1e-11,1e-13,0.02,0.1,20,0.0135995707328636,0.0135995707328636
2004,1e-11,1e-13,0.02,0.4,20,0.166283698439194,0.165779503911845
2004,1e-11,1e-13,0.02,0.1,160,0.0140547191452249,0.0140437177645596
2004,1e-11,1e-13,0.02,0.4,160,0.170418080907959,0.170418080907959
