g_over_xi,T,max_atomic_error,final_atomic_error,max_Bell_overlap_difference,exact_norm_error,maximum_frozen_atomic_norm_squared
0.01,20,0.000138820111877117,0.000138820111877117,3.48782244293799e-05,3.61932706027801e-14,1
0.02,20,0.000554931599696587,0.000554931599696587,0.000139524492403398,3.98570065840431e-14,1
0.05,20,0.00345313245882573,0.00345313245882573,0.000872528035704812,3.56381590904675e-14,1
0.1,20,0.0135995707331313,0.0135995707331313,0.00349684268231565,3.80806497446429e-14,1
0.2,20,0.0512262781938128,0.0512262781938128,0.0140774564240882,3.69704267200177e-14,1.00157022296238
0.4,20,0.166283698439391,0.165779503912049,0.056848000713459,1.84297022087776e-14,1.03322903924649
0.01,80,0.000143555837010026,0.000143189149727277,3.80787460514398e-05,1.17683640610267e-14,1
0.02,80,0.000573844935479776,0.000572374983304666,0.00015218245346138,1.59872115546023e-14,1
0.05,80,0.00357006337556347,0.00356073638474353,0.000945375459980635,1.0547118733939e-14,1
0.1,80,0.0140499258815766,0.0140106422835263,0.0037010051671903,1.75415237890775e-14,1
0.2,80,0.0528010449387604,0.0526098028349834,0.0136217088914194,8.21565038222616e-15,1
0.4,80,0.170328350634766,0.169033507647987,0.0471617398018906,1.02140518265514e-14,1.02680726216614
0.01,160,0.000143603451053851,0.000143492885867018,3.92909738105018e-05,1.45439216225896e-14,1
0.02,160,0.000574035369124402,0.000573593050976223,0.000157020457354107,1.29896093881143e-14,1
0.05,160,0.00357125331152147,0.00356848762768401,0.00097514040123281,1.25455201782643e-14,1
0.1,160,0.0140547191453484,0.0140437177646855,0.00381356454170012,1.47659662275146e-14,1
0.2,160,0.0528179956869451,0.0527806552244108,0.0139807963581463,1.4210854715202e-14,1
0.4,160,0.170418080908046,0.170418080908046,0.0445945034767197,9.65894031423886e-15,1.02436459538499
