delta_k,selected_plus_root,other_plus_root,selected_minus_root,other_minus_root
1e-05,3.59999999891274e-19,3.59999999866966e-09,3.59999999908909e-19,3.59999999875784e-09
1.09647819614319e-05,5.20358317260884e-19,4.32815196254494e-09,5.20358317284131e-19,4.32815196264162e-09
1.20226443461741e-05,7.5214660671467e-19,5.20358317160366e-09,7.52146606745316e-19,5.20358317170967e-09
1.31825673855641e-05,1.08718261867673e-18,6.25608297907415e-09,1.08718261871713e-18,6.25608297919039e-09
1.44543977074593e-05,1.57145699494241e-18,7.52146606476075e-09,1.57145699499567e-18,7.52146606488821e-09
1.58489319246111e-05,2.27144643816214e-18,9.04279114413548e-09,2.27144643823234e-18,9.04279114427523e-09
1.73780082874938e-05,3.28323901833021e-18,1.08718261802382e-08,3.28323901842277e-18,1.08718261803914e-08
1.90546071796325e-05,4.7457242530979e-18,1.30708099528952e-08,4.74572425321991e-18,1.30708099530632e-08
2.08929613085404e-05,6.85965857466189e-18,1.57145699331791e-08,6.85965857482272e-18,1.57145699333633e-08
2.29086765276777e-05,9.91522331484776e-18,1.88930685296203e-08,9.91522331505978e-18,1.88930685298223e-08
2.51188643150958e-05,1.43318581095073e-17,2.27144643438077e-08,1.43318581097868e-17,2.27144643440292e-08
2.75422870333817e-05,2.07158376912583e-17,2.73087926178593e-08,2.07158376916267e-17,2.73087926181022e-08
3.01995172040202e-05,2.99434956684585e-17,3.28323900968441e-08,2.99434956689442e-17,3.28323900971104e-08
3.31131121482591e-05,4.32815194877424e-17,3.94732148878947e-08,4.32815194883826e-17,3.94732148881866e-08
3.63078054770102e-05,6.25608295600544e-17,4.74572423378769e-08,6.25608295608985e-17,4.7457242338197e-08
3.98107170553497e-05,9.04279110564124e-17,5.70561545668241e-08,9.04279110575251e-17,5.70561545671752e-08
4.36515832240166e-05,1.30708098885916e-16,6.8596585323317e-08,1.30708098887383e-16,6.8596585323702e-08
4.78630092322638e-05,1.88930684244759e-16,8.24712347432566e-08,1.88930684246693e-16,8.24712347436786e-08
5.24807460249772e-05,2.73087924502631e-16,9.91522322279713e-08,2.7308792450518e-16,9.91522322284341e-08
5.75439937337157e-05,3.94732146256552e-16,1.19207202155251e-07,3.94732146259912e-16,1.19207202155758e-07
6.30957344480193e-05,5.70561541715503e-16,1.43318579117305e-07,5.70561541719933e-16,1.43318579117862e-07
6.91830970918936e-05,8.24712341829856e-16,1.72306829936196e-07,8.24712341835696e-16,1.72306829936806e-07
7.58577575029184e-05,1.19207201446137e-15,2.0715837267198e-07,1.19207201446907e-15,2.07158372672649e-07
8.31763771102671e-05,1.72306829262388e-15,2.49059142638407e-07,1.72306829263402e-15,2.49059142639141e-07
9.1201083935591e-05,2.49059142624595e-15,2.99434947634029e-07,2.49059142625933e-15,2.99434947634833e-07
0.0001,3.59999987999493e-15,3.59999985600013e-07,3.59999988001256e-15,3.59999985600895e-07
0.000109647819614319,5.20358296614328e-15,4.32815175647981e-07,5.20358296616654e-15,4.32815175648948e-07
0.000120226443461741,7.52146570862549e-15,5.20358287380132e-07,7.52146570865614e-15,5.20358287381192e-07
0.000131825673855641,1.08718255636243e-14,6.25608254860216e-07,1.08718255636647e-14,6.25608254861378e-07
0.000144543977074593,1.57145688662271e-14,7.52146544249035e-07,1.57145688662803e-14,7.5214654425031e-07
0.000158489319246111,2.27144624993601e-14,9.04279024484075e-07,2.27144624994303e-14,9.04279024485472e-07
0.000173780082874938,3.28323869116951e-14,1.08718248801445e-06,3.28323869117876e-14,1.08718248801599e-06
0.000190546071796325,4.74572368444074e-14,1.30708080734204e-06,4.74572368445294e-14,1.30708080734372e-06
0.000208929613085404,6.85965758653092e-14,1.57145672167484e-06,6.859657586547e-14,1.57145672167668e-06
0.000229086765276777,9.91522159747894e-14,1.88930646028925e-06,9.91522159750015e-14,1.88930646029127e-06
0.000251188643150958,1.43318551256136e-13,2.27144586684922e-06,1.43318551256415e-13,2.27144586685144e-06
0.000275422870333817,2.07158325059617e-13,2.73087844147328e-06,2.07158325059985e-13,2.73087844147571e-06
0.000301995172040202,2.99434866567473e-13,3.28323782394059e-06,2.99434866567959e-13,3.28323782394325e-06
0.000331131121482591,4.32815038271429e-13,3.94731977485476e-06,4.32815038272069e-13,3.94731977485768e-06
0.000363078054770101,6.2560802344549e-13,4.74572175637059e-06,6.25608023446334e-13,4.74572175637379e-06
0.000398107170553497,9.04278637613211e-13,5.70561187573693e-06,9.04278637614323e-13,5.70561187574044e-06
0.000436515832240166,1.30708016697522e-12,6.85965335634722e-06,1.30708016697668e-12,6.85965335635107e-06
